Geneid	SRR20281755	SRR20281764	SRR20281765	SRR20281802	SRR20281803	SRR20281804	
ENSMUSG00000102693.2	0	0	0	0	34	0
ENSMUSG00000064842.3	0	0	0	0	0	0
ENSMUSG00000051951.6	0	0	0	0	0	0
ENSMUSG00000102851.2	0	0	0	20	0	14
ENSMUSG00000103377.2	45	0	18	0	0	0
ENSMUSG00000104017.2	0	0	0	0	0	0
ENSMUSG00000103025.2	0	0	0	0	0	0
ENSMUSG00000089699.2	0	0	0	0	0	0
ENSMUSG00000103201.2	0	0	0	0	0	0
ENSMUSG00000103147.2	0	0	0	0	0	0
ENSMUSG00000103161.2	0	0	0	0	0	0
ENSMUSG00000102331.2	0	0	0	50	0	0
ENSMUSG00000102348.2	0	0	0	0	0	0
ENSMUSG00000102592.2	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0
ENSMUSG00000102343.2	2	0	0	0	0	0
ENSMUSG00000025900.14	0	0	11	29	3	18
ENSMUSG00000102948.2	0	0	0	0	0	1
ENSMUSG00000104123.2	0	0	0	0	0	0
ENSMUSG00000025902.14	0	0	0	0	0	0
ENSMUSG00000104238.2	0	0	2	0	0	0
ENSMUSG00000102269.2	0	0	0	0	0	0
ENSMUSG00000118917.1	0	0	0	0	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0
ENSMUSG00000104328.2	0	0	0	0	0	0
ENSMUSG00000102735.2	0	0	3	0	0	1
ENSMUSG00000098104.2	2	0	0	0	0	0
ENSMUSG00000102175.2	0	11	0	41	0	15
ENSMUSG00002075947.1	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0
ENSMUSG00000103922.2	0	0	0	10	43	2
ENSMUSG00000033845.14	1588	2142	2364	2089	1788	2095
ENSMUSG00000102275.2	48	58	134	38	0	35
ENSMUSG00000120403.1	88	15	0	24	5	4
ENSMUSG00000025903.15	203	203	258	294	274	247
ENSMUSG00000104217.2	0	0	0	0	0	0
ENSMUSG00000033813.16	8	0	0	4	0	0
ENSMUSG00000062588.5	0	0	0	0	0	0
ENSMUSG00000103280.2	0	45	0	0	0	0
ENSMUSG00000002459.18	433	637	559	477	639	532
ENSMUSG00000091305.2	0	0	0	0	0	0
ENSMUSG00000102653.2	0	0	0	0	0	12
ENSMUSG00000085623.2	0	0	0	0	1	1
ENSMUSG00000091665.2	0	8	54	12	0	6
ENSMUSG00000033793.13	0	0	12	179	32	41
ENSMUSG00000104352.2	0	0	0	0	0	0
ENSMUSG00000104046.2	0	0	0	0	0	0
ENSMUSG00000102907.2	0	0	0	0	0	0
ENSMUSG00000025905.15	0	0	0	0	0	0
ENSMUSG00000103936.2	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	0	0	0	0
ENSMUSG00000103519.2	0	0	0	0	0	0
ENSMUSG00000033774.5	2	0	0	0	0	0
ENSMUSG00000103090.2	0	0	0	0	0	0
ENSMUSG00000090031.4	58	109	192	85	65	45
ENSMUSG00000025907.15	0	0	0	0	0	0
ENSMUSG00000087247.4	0	0	0	0	0	0
ENSMUSG00000103355.2	0	0	0	0	0	0
ENSMUSG00000102706.2	0	0	0	0	0	0
ENSMUSG00000103845.2	0	0	0	0	0	0
ENSMUSG00000033740.18	0	14	0	0	0	0
ENSMUSG00000103329.3	1	0	0	0	0	0
ENSMUSG00000104385.2	0	0	0	0	0	0
ENSMUSG00000102135.2	0	0	0	0	0	0
ENSMUSG00000103282.2	0	0	0	0	0	0
ENSMUSG00000102534.2	0	0	0	0	0	0
ENSMUSG00000102213.2	0	0	0	0	0	0
ENSMUSG00000103629.2	0	15	0	17	0	0
ENSMUSG00000120372.1	1	74	39	61	71	108
ENSMUSG00000051285.18	0	15	25	53	13	12
ENSMUSG00000098201.2	0	0	0	0	0	0
ENSMUSG00000103509.2	0	0	0	0	0	0
ENSMUSG00000048538.8	0	0	0	0	0	0
ENSMUSG00000103709.2	0	0	0	0	0	0
ENSMUSG00000077244.3	0	0	0	0	0	0
ENSMUSG00000102768.2	0	6	0	25	0	8
ENSMUSG00000097797.7	0	0	0	0	0	0
ENSMUSG00000103498.2	0	1	0	0	0	0
ENSMUSG00000103067.2	0	0	0	0	0	0
ENSMUSG00000102320.2	0	0	0	0	0	0
ENSMUSG00000104226.2	0	0	0	0	0	0
ENSMUSG00000103903.2	0	0	0	0	0	0
ENSMUSG00000103557.2	0	0	0	0	0	0
ENSMUSG00000025909.17	0	1	0	8	0	0
ENSMUSG00000102647.2	0	0	0	0	0	0
ENSMUSG00000086235.2	0	0	0	0	0	0
ENSMUSG00000102253.2	0	0	2	0	0	0
ENSMUSG00002074990.1	0	0	0	0	0	0
ENSMUSG00000103884.2	0	0	0	0	0	0
ENSMUSG00000084353.2	0	0	0	0	0	0
ENSMUSG00000103933.2	0	0	0	0	0	0
ENSMUSG00002075967.1	0	0	0	0	0	0
ENSMUSG00000086195.2	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0
ENSMUSG00000066693.3	0	0	0	0	0	0
ENSMUSG00000102316.2	0	0	0	0	0	0
ENSMUSG00000103819.2	0	0	0	0	0	0
ENSMUSG00000102871.2	0	0	0	0	0	0
ENSMUSG00000101571.3	0	0	0	0	0	0
ENSMUSG00000104428.2	0	0	0	0	0	0
ENSMUSG00000102272.2	0	0	0	96	0	0
