# Program:featureCounts v2.0.3; Command:"featureCounts" "-T" "4" "-p" "-a" "data/annotation/union_peaks.saf" "-F" "SAF" "-o" "results/featurecounts/SRX16311691_featureCounts.txt" "results/mapping/SRX16311691.bam" 
Geneid	Chr	Start	End	Strand	Length	results/mapping/SRX16311691.bam
peak_1	chr1	4785426	4785887	.	462	582
peak_2	chr1	4807480	4808209	.	730	883
peak_3	chr1	4857400	4858455	.	1056	1540
peak_4	chr1	5019257	5019657	.	401	254
peak_5	chr1	5082964	5083481	.	518	528
peak_6	chr1	6214131	6215273	.	1143	857
peak_7	chr1	6272324	6272510	.	187	80
peak_8	chr1	6406425	6406820	.	396	228
peak_9	chr1	7088403	7089470	.	1068	3512
peak_10	chr1	7112974	7113226	.	253	82
peak_11	chr1	7395494	7395874	.	381	436
peak_12	chr1	7397329	7398500	.	1172	2194
peak_13	chr1	9545105	9545705	.	601	1852
peak_14	chr1	9597455	9597685	.	231	139
peak_15	chr1	9631070	9631346	.	277	217
peak_16	chr1	9700139	9700881	.	743	1408
peak_17	chr1	9747599	9748742	.	1144	2700
peak_18	chr1	9772826	9773438	.	613	376
peak_19	chr1	9797880	9798303	.	424	174
peak_20	chr1	9804636	9804886	.	251	100
peak_21	chr1	9805870	9806258	.	389	279
peak_22	chr1	9857598	9857949	.	352	208
peak_23	chr1	9859029	9859392	.	364	455
peak_24	chr1	9876797	9877177	.	381	404
peak_25	chr1	9893117	9893485	.	369	303
peak_26	chr1	9943922	9944315	.	394	875
peak_27	chr1	9967885	9968349	.	465	329
peak_28	chr1	10037819	10038481	.	663	743
peak_29	chr1	10039575	10040273	.	699	904
peak_30	chr1	10232632	10233348	.	717	611
peak_31	chr1	12657434	12657854	.	421	51
peak_32	chr1	12865142	12865632	.	491	416
peak_33	chr1	12983231	12983494	.	264	204
peak_34	chr1	12992138	12992864	.	727	497
peak_35	chr1	13029430	13029649	.	220	146
peak_36	chr1	13153242	13153551	.	310	131
peak_37	chr1	13206891	13207272	.	382	280
peak_38	chr1	13256073	13256632	.	560	789
peak_39	chr1	13291688	13291898	.	211	116
peak_40	chr1	13295565	13295879	.	315	301
peak_41	chr1	13297274	13297494	.	221	110
peak_42	chr1	13342414	13343061	.	648	309
peak_43	chr1	13360731	13360956	.	226	167
peak_44	chr1	13372165	13373637	.	1473	2251
peak_45	chr1	13373979	13374710	.	732	389
peak_46	chr1	13424613	13424832	.	220	114
peak_47	chr1	13426318	13426687	.	370	182
peak_48	chr1	13426789	13427123	.	335	159
peak_49	chr1	13513805	13514169	.	365	407
peak_50	chr1	13531595	13531804	.	210	189
peak_51	chr1	13589292	13589575	.	284	201
peak_52	chr1	13589705	13590142	.	438	450
peak_53	chr1	13593192	13593562	.	371	208
peak_54	chr1	13647704	13648279	.	576	942
peak_55	chr1	13649676	13649896	.	221	112
peak_56	chr1	13652174	13652435	.	262	226
peak_57	chr1	13658969	13659249	.	281	137
peak_58	chr1	13659620	13660793	.	1174	1255
peak_59	chr1	13840020	13840306	.	287	169
peak_60	chr1	14576904	14577319	.	416	233
peak_61	chr1	14579436	14579697	.	262	386
peak_62	chr1	14595998	14596488	.	491	413
